VariableID;VariableName;UnitsAbbreviation;ALT;NEU;STR;EFH;GEW;ANDERE
77;Benzo[b]fluoranthen;ug/L;0.192782609;0.066047619;0.344214286;0.064714286;0.170090909;0.167569942
78;Benzo[k]fluoranthen;ug/L;0.072217391;0.017714286;0.165;0.016071429;0.051227273;0.064446076
79;Benzo[a]pyren;ug/L;0.129456522;0.023404762;0.217035714;0.022892857;0.064818182;0.091521607
80;Dibenz[a,h]anthracen;ug/L;0.023;0.005904762;0.046357143;0.007071429;0.015136364;0.019493939
81;Benzo[g,h,i]perylen;ug/L;0.092782609;0.018142857;0.131214286;0.019714286;0.052954545;0.062961717
82;Indeno[1,2,3-c,d]pyren;ug/L;0.101478261;0.02752381;0.134285714;0.025357143;0.0785;0.073428986
83;Nonylphenole;ug/L;2.70625;2.636842105;0;0;3.9375;1.856118421
84;2-Phenylphenol;ug/L;0.240555556;0.236842105;0.25625;0.316153846;0.286666667;0.267293635
85;4-tert-Octylphenol;ug/L;0;0;0;0.261538462;0.244444444;0.101196581
86;4-tert-Butylphenol;ug/L;0.0775;0.063529412;0.052857143;0.075;0.167058824;0.087189076
87;Nikotin;ug/L;0.716044896;0.431324306;0.547225478;0.359090909;0.890869565;0.588911031
89;Ammonium;mg/L;0.390997051;0.158183732;0.3975;0.77;0.351031533;0.413542463
92;Gesamt-Phosphor filtriert;mg/L;0.157375;0.086666667;0.094;0.4;0.035648534;0.15473804
94;Blei gelöst;ug/L;2.25;0.498333333;0.47;2.1;6.429;2.349466667
95;Cadmium gelöst;ug/L;0;0.031;0;0;0.393;0.0848
96;Chrom gelöst;ug/L;0.627142857;0.555;1.635;0.89;1.116;0.964628571
97;Kupfer gelöst;ug/L;7.314285714;39.51166667;14.6;50;98.803;42.04579048
98;Nickel gelöst;ug/L;1.097142857;1.108333333;3.625;1.6;2.764;2.038895238
99;Titan gelöst;ug/L;2.7;1.166666667;0;0;3.28;1.429333333
100;Vanadium gelöst;ug/L;1.03;1.328333333;1.0425;0.64;1.233;1.054766667
101;Zink gelöst;ug/L;444.8357143;85.19;109.25;200;1231.566;414.1683429
103;Octylisothiazolinon;ug/L;0.054333333;0.038846154;0;0;0.015833333;0.021802564
104;Benzisothiazolinon;ug/L;0.0225;0.171923077;0.0495;0.172777778;0.05;0.093340171
;AFS fein (<63µm);mg/L;30.735;43.538;NA;NA;41.805;38.69266667
