Variable_name;abbrev;Unit
Anthracen;Anthra;ug/L
Cadmium gelöst;Cd_gel;ug/L
Carbendazim;Carben;ug/L
Diethylhexylphthalat (DEHP);DEHP;ug/L
Mecoprop;MCPP;ug/L
Phenanthren;Phena;ug/L
Diuron;Diuron;ug/L
Fluoranthen;Fluora;ug/L
Blei gelöst;Pb_gel;ug/L
Naphthalin;Naphta;ug/L
Nickel gelöst;Ni_gel;ug/L
Benzo[a]pyren;Be_pyr;ug/L
Benzo[b]fluoranthen;Be_b_flu;ug/L
Benzo[k]fluoranthen;Be_k_flu;ug/L
Benzo[g,h,i]perylen;Be_per;ug/L
Terbutryn;Terbu;ug/L
Zink gelöst;Zn_gel;ug/L
Kupfer gelöst;Cu_gel;ug/L
AFS fein (<63µm);AFS_fe;mg/L
Orthophosphat;OPO4;mg/L
Gesamt-Phosphor;TP;mg/L
